d1;d2;d3;d4;n
0.0784735;0.0524053;0.0545552;0.0513303;3721
0.0781125;0.0519861;0.0543855;0.0511863;3751
0.0782862;0.0518381;0.0544829;0.0510447;3781
0.0776699;0.0514301;0.0543165;0.0506429;3811
0.077584;0.0510284;0.0541526;0.0502473;3841
0.077241;0.0511496;0.0539912;0.0506329;3871
0.076647;0.0507562;0.0538324;0.0512689;3901
0.0763165;0.0508776;0.0546935;0.0516408;3931
0.0762434;0.0509972;0.0542792;0.0520071;3961
0.0759208;0.0506139;0.0543723;0.0518667;3991
0.0761005;0.0509823;0.0542154;0.0517284;4021
0.0765243;0.0518391;0.0538139;0.0518391;4051
0.0769419;0.051703;0.0534183;0.051703;4081
0.0771102;0.051569;0.0532717;0.0522987;4111
0.076793;0.0511954;0.0531273;0.0528858;4141
0.0764805;0.0515464;0.0527451;0.0527451;4171
0.0768865;0.0514163;0.0526065;0.0526065;4201
0.0765776;0.0512881;0.0527062;0.0522335;4231
0.0762732;0.050927;0.0528045;0.0521004;4261
0.0757399;0.050804;0.0529014;0.0522023;4291
0.0759084;0.0506827;0.0536913;0.0518399;4321
0.075385;0.0503333;0.0537807;0.0519421;4351
0.075097;0.0504451;0.0540972;0.0518147;4381
0.074813;0.050102;0.0544094;0.0523691;4411
0.0749831;0.0497636;0.0542671;0.0524657;4441
0.0747036;0.049877;0.0543503;0.0527846;4471
0.0742057;0.0495445;0.053988;0.052655;4501
0.0741558;0.0494372;0.0545134;0.052527;4531
0.0747643;0.0493313;0.0545933;0.0524008;4561
0.075147;0.0492267;0.0544544;0.0522762;4591
0.075092;0.0495564;0.0547501;0.0519368;4621
0.0748226;0.0494517;0.0548269;0.0518168;4651
0.0743431;0.0495621;0.0549028;0.0521256;4681
0.0738697;0.0498833;0.0547654;0.0522182;4711
0.0736132;0.0499895;0.0556845;0.0527315;4741
0.0731503;0.0500943;0.0559631;0.0523999;4771
0.0733181;0.0497813;0.0558217;0.0520725;4801
0.0732768;0.0494722;0.056303;0.0519561;4831
0.0728245;0.0493726;0.0559556;0.0520469;4861
0.0727867;0.0492742;0.0556123;0.0519321;4891
0.0725462;0.0489738;0.0552733;0.0516155;4921
0.0723086;0.048879;0.0551404;0.0517067;4951
0.0718731;0.0487854;0.0552098;0.0517968;4981
0.0714428;0.0486929;0.0552784;0.052285;5011
