d1;d2;d3;d4;n
0.000735114;0.000490076;0.000490076;0.000735114;4081
0.000729749;0.0004865;0.0004865;0.000729749;4111
0.000724463;0.000482975;0.000482975;0.000724463;4141
0.000719252;0.000479501;0.000479501;0.000719252;4171
0.000714116;0.000476077;0.000476077;0.000714116;4201
0.000709052;0.000472701;0.000472701;0.000709052;4231
0.00070406;0.000469373;0.000469373;0.00070406;4261
0.000699138;0.000466092;0.000466092;0.000699138;4291
0.000694284;0.000462856;0.000462856;0.000925712;4321
0.000689497;0.000459664;0.000459664;0.000919329;4351
0.000684775;0.000456517;0.000456517;0.000913034;4381
0.000680118;0.000453412;0.000453412;0.000906824;4411
0.000675524;0.000450349;0.000450349;0.000900698;4441
0.000670991;0.000447327;0.000447327;0.000894654;4471
0.000666519;0.000444346;0.000444346;0.000888691;4501
0.000662106;0.000441404;0.000441404;0.000882807;4531
0.00065775;0.0004385;0.0004385;0.000877001;4561
0.000653452;0.000435635;0.000435635;0.00087127;4591
0.00064921;0.000432807;0.000432807;0.000865614;4621
0.000645023;0.000430015;0.000430015;0.00086003;4651
0.000640889;0.000427259;0.000427259;0.000854518;4681
0.000636807;0.000424538;0.000424538;0.000849077;4711
0.000632778;0.000421852;0.000421852;0.000843704;4741
0.000628799;0.000419199;0.000419199;0.000838399;4771
0.00062487;0.00041658;0.00041658;0.00083316;4801
0.000620989;0.000413993;0.000413993;0.000827986;4831
0.000617157;0.000411438;0.000411438;0.000822876;4861
0.000613371;0.000408914;0.000408914;0.000817829;4891
0.000609632;0.000406421;0.000406421;0.000812843;4921
0.000605938;0.000403959;0.000403959;0.000807918;4951
0.000602289;0.000401526;0.000401526;0.000803052;4981
0.000598683;0.000399122;0.000399122;0.000798244;5011
0.00059512;0.000396747;0.000396747;0.000793493;5041
0.000591599;0.0003944;0.0003944;0.000788799;5071
0.00058812;0.00039208;0.00039208;0.00078416;5101
0.000584681;0.000389788;0.000389788;0.000779575;5131
0.000581283;0.000387522;0.000387522;0.000775044;5161
0.000577923;0.000385282;0.000385282;0.000770564;5191
0.000574603;0.000383068;0.000383068;0.000766137;5221
0.00057132;0.00038088;0.00038088;0.00076176;5251
0.000568074;0.000378716;0.000378716;0.00094679;5281
0.000564865;0.000376577;0.000376577;0.000941442;5311
0.000561693;0.000374462;0.000374462;0.000936154;5341
0.000558555;0.00037237;0.00037237;0.000930925;5371
0.000555453;0.000370302;0.000370302;0.000925754;5401
0.000552384;0.000368256;0.000368256;0.000920641;5431
0.00054935;0.000366233;0.000366233;0.000915583;5461
0.000546349;0.000364232;0.000364232;0.000910581;5491
0.00054338;0.00054338;0.000362253;0.000905633;5521
0.000540443;0.000540443;0.000360295;0.000900739;5551
0.000537538;0.000537538;0.000358359;0.000895897;5581
0.000534664;0.000534664;0.000356443;0.000891107;5611
0.000531821;0.000531821;0.000354547;0.000886368;5641
0.000529007;0.000529007;0.000352671;0.000881679;5671
0.000526223;0.000526223;0.000350816;0.000877039;5701
0.000523469;0.000523469;0.000348979;0.000872448;5731
0.000520743;0.000520743;0.000347162;0.000867905;5761
0.000518045;0.000518045;0.000345363;0.000863409;5791
0.000515375;0.000515375;0.000343584;0.000858959;5821
0.000512733;0.000683644;0.000341822;0.000854555;5851
0.000510117;0.000680156;0.000340078;0.000850196;5881
0.000507528;0.000676704;0.000338352;0.000845881;5911
0.000504965;0.000673287;0.000336644;0.000841609;5941
0.000502428;0.000669905;0.000334952;0.000837381;5971
0.000499917;0.000666556;0.000333278;0.000833194;6001
0.00049743;0.00066324;0.00033162;0.00082905;6031
0.000494968;0.000659957;0.000329979;0.000824946;6061
0.00049253;0.000656707;0.000328353;0.000820883;6091
0.000490116;0.000653488;0.000326744;0.00081686;6121
0.000487726;0.000650301;0.00032515;0.000812876;6151
0.000485358;0.000647144;0.000323572;0.000808931;6181
0.000483014;0.000644019;0.000322009;0.000805023;6211
0.000480692;0.000640923;0.000320461;0.000801154;6241
0.000478393;0.000637857;0.000318928;0.000797321;6271
0.000476115;0.00063482;0.00031741;0.000793525;6301
0.000473859;0.000631812;0.000315906;0.000789765;6331
0.000471624;0.000628832;0.000314416;0.00078604;6361
0.00046941;0.00062588;0.00031294;0.00078235;6391
0.000467217;0.000622956;0.000311478;0.000778695;6421
0.000465044;0.000620059;0.000310029;0.000775074;6451
0.000462892;0.000617189;0.000308594;0.000771486;6481
0.000460759;0.000614345;0.000307172;0.000767931;6511
0.000458645;0.000611527;0.000305764;0.000917291;6541
0.000608735;0.000608735;0.000304368;0.000913103;6571
0.000605969;0.000605969;0.000302984;0.000908953;6601
0.000603227;0.000603227;0.000301614;0.000904841;6631
0.00060051;0.00060051;0.000300255;0.000900766;6661
0.000597818;0.000597818;0.000298909;0.000896727;6691
0.00059515;0.00059515;0.000297575;0.000892724;6721
0.000592505;0.000592505;0.000296252;0.000888757;6751
0.000589883;0.000589883;0.000294942;0.000884825;6781
0.000587285;0.000587285;0.000293643;0.000880928;6811
0.00058471;0.00058471;0.000292355;0.000877065;6841
0.000582157;0.000582157;0.000291078;0.000873235;6871
0.000579626;0.000579626;0.000289813;0.000869439;6901
0.000577117;0.000577117;0.000288559;0.000865676;6931
